2026-05-28 23:02:49.555 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-05-28 23:02:49.611 [main] INFO  c.e.d.DatabricksAccessServiceApplication - Starting DatabricksAccessServiceApplication using Java 17.0.9 with PID 6448 (D:\Study\Cursor\databricks-access-service\target\classes started by Koteshwar in D:\Study\Cursor\databricks-access-service)
2026-05-28 23:02:49.612 [main] DEBUG c.e.d.DatabricksAccessServiceApplication - Running with Spring Boot v3.5.0, Spring v6.2.7
2026-05-28 23:02:49.613 [main] INFO  c.e.d.DatabricksAccessServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-28 23:02:50.823 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-28 23:02:50.834 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-28 23:02:50.838 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-28 23:02:50.838 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2026-05-28 23:02:50.964 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-28 23:02:50.965 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1294 ms
2026-05-28 23:02:51.097 [main] INFO  c.e.d.config.DataSourceConfig - Configuring Databricks DataSource: jdbc:databricks://${DATABRICKS_HOST}:443/default;httpPath=${DATABRICKS_HTTP_PATH};AuthMech=3;UID=token;PWD=***;
2026-05-28 23:02:51.488 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-28 23:02:51.515 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-28 23:02:51.527 [main] INFO  c.e.d.DatabricksAccessServiceApplication - Started DatabricksAccessServiceApplication in 2.537 seconds (process running for 3.028)
2026-05-28 23:02:57.993 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-05-28 23:02:58.029 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
